date,year,month,forecast_demand_tons
2026-01-31,2026,1,0.32
2026-02-28,2026,2,0.32
2026-03-31,2026,3,0.32
2026-04-30,2026,4,0.32
2026-05-31,2026,5,0.32
2026-06-30,2026,6,0.32
2026-07-31,2026,7,0.32
2026-08-31,2026,8,0.32
2026-09-30,2026,9,0.32
2026-10-31,2026,10,0.32
2026-11-30,2026,11,0.32
2026-12-31,2026,12,0.32
2027-01-31,2027,1,0.32
2027-02-28,2027,2,0.32
2027-03-31,2027,3,0.32
2027-04-30,2027,4,0.32
2027-05-31,2027,5,0.32
2027-06-30,2027,6,0.32
2027-07-31,2027,7,0.32
2027-08-31,2027,8,0.32
2027-09-30,2027,9,0.32
2027-10-31,2027,10,0.32
2027-11-30,2027,11,0.32
2027-12-31,2027,12,0.32
2028-01-31,2028,1,0.32
2028-02-29,2028,2,0.32
2028-03-31,2028,3,0.32
2028-04-30,2028,4,0.32
2028-05-31,2028,5,0.32
2028-06-30,2028,6,0.32
2028-07-31,2028,7,0.32
2028-08-31,2028,8,0.32
2028-09-30,2028,9,0.32
2028-10-31,2028,10,0.32
2028-11-30,2028,11,0.32
2028-12-31,2028,12,0.32
2029-01-31,2029,1,0.32
2029-02-28,2029,2,0.32
2029-03-31,2029,3,0.32
2029-04-30,2029,4,0.32
2029-05-31,2029,5,0.32
2029-06-30,2029,6,0.32
2029-07-31,2029,7,0.32
2029-08-31,2029,8,0.32
2029-09-30,2029,9,0.32
2029-10-31,2029,10,0.32
2029-11-30,2029,11,0.32
2029-12-31,2029,12,0.32
2030-01-31,2030,1,0.33
2030-02-28,2030,2,0.33
2030-03-31,2030,3,0.33
2030-04-30,2030,4,0.32
2030-05-31,2030,5,0.32
2030-06-30,2030,6,0.33
2030-07-31,2030,7,0.32
2030-08-31,2030,8,0.32
2030-09-30,2030,9,0.32
2030-10-31,2030,10,0.32
2030-11-30,2030,11,0.33
2030-12-31,2030,12,0.33
